"","x"
"70","TCGA-44-3919-01A"
"71","TCGA-44-4112-01A"
"72","TCGA-44-4112-01B"
"73","TCGA-44-5643-01A"
"74","TCGA-44-5644-01A"
"75","TCGA-44-5645-01A"
"76","TCGA-44-5645-01B"
"77","TCGA-44-6145-01A"
"78","TCGA-44-6146-01A"
"79","TCGA-44-6146-01B"
"80","TCGA-44-6147-01A"
"81","TCGA-44-6147-01B"
"82","TCGA-44-6148-01A"
"83","TCGA-44-6774-01A"
"84","TCGA-44-6775-01A"
"85","TCGA-44-6775-01C"
"86","TCGA-44-6776-01A"
"87","TCGA-44-6777-01A"
"88","TCGA-44-6778-01A"
"89","TCGA-44-6779-01A"
"90","TCGA-44-7659-01A"
"91","TCGA-44-7660-01A"
"92","TCGA-44-7661-01A"
"93","TCGA-44-7662-01A"
"94","TCGA-44-7667-01A"
"95","TCGA-44-7669-01A"
"96","TCGA-44-7670-01A"
"97","TCGA-44-7671-01A"
"98","TCGA-44-7672-01A"
"99","TCGA-44-8117-01A"
"100","TCGA-44-8119-01A"
"101","TCGA-44-8120-01A"
"102","TCGA-44-A479-01A"
"103","TCGA-44-A47A-01A"
"104","TCGA-44-A47B-01A"
"105","TCGA-44-A47G-01A"
"106","TCGA-44-A4SS-01A"
"107","TCGA-44-A4SU-01A"
"108","TCGA-49-4486-01A"
"109","TCGA-49-4487-01A"
"110","TCGA-49-4488-01A"
"111","TCGA-49-4490-01A"
"112","TCGA-49-4494-01A"
"113","TCGA-49-4501-01A"
"114","TCGA-49-4505-01A"
"115","TCGA-49-4506-01A"
"116","TCGA-49-4507-01A"
"117","TCGA-49-4510-01A"
"118","TCGA-49-4512-01A"
"119","TCGA-49-4514-01A"
"120","TCGA-49-6742-01A"
"121","TCGA-49-6743-01A"
"122","TCGA-49-6744-01A"
"123","TCGA-49-6745-01A"
"124","TCGA-49-6761-01A"
"125","TCGA-49-6767-01A"
"126","TCGA-49-AAQV-01A"
"127","TCGA-49-AAR0-01A"
"128","TCGA-49-AAR2-01A"
"129","TCGA-49-AAR3-01A"
"130","TCGA-49-AAR4-01A"
"131","TCGA-49-AAR9-01A"
"132","TCGA-49-AARE-01A"
"133","TCGA-49-AARN-01A"
"134","TCGA-49-AARO-01A"
"135","TCGA-49-AARQ-01A"
"136","TCGA-49-AARR-01A"
"137","TCGA-4B-A93V-01A"
"138","TCGA-50-5044-01A"
"139","TCGA-50-5045-01A"
"140","TCGA-50-5049-01A"
"141","TCGA-50-5051-01A"
"142","TCGA-50-5055-01A"
"143","TCGA-50-5066-01A"
"144","TCGA-50-5066-02A"
"145","TCGA-50-5068-01A"
"146","TCGA-50-5072-01A"
"147","TCGA-50-5930-01A"
"148","TCGA-50-5931-01A"
"149","TCGA-50-5932-01A"
"150","TCGA-50-5933-01A"
"151","TCGA-50-5935-01A"
"152","TCGA-50-5936-01A"
"153","TCGA-50-5939-01A"
"154","TCGA-50-5941-01A"
"155","TCGA-50-5942-01A"
"156","TCGA-50-5944-01A"
"157","TCGA-50-5946-01A"
"158","TCGA-50-5946-02A"
"159","TCGA-50-6590-01A"
"160","TCGA-50-6591-01A"
"161","TCGA-50-6592-01A"
"162","TCGA-50-6593-01A"
"163","TCGA-50-6594-01A"
"164","TCGA-50-6595-01A"
