"","x"
"266","TCGA-63-A5MB-01A"
"267","TCGA-63-A5MG-01A"
"268","TCGA-63-A5MH-01A"
"269","TCGA-63-A5MI-01A"
"270","TCGA-63-A5MJ-01A"
"271","TCGA-63-A5ML-01A"
"272","TCGA-63-A5MM-01A"
"273","TCGA-63-A5MN-01A"
"274","TCGA-63-A5MP-01A"
"275","TCGA-63-A5MR-01A"
"276","TCGA-63-A5MS-01A"
"277","TCGA-63-A5MT-01A"
"278","TCGA-63-A5MU-01A"
"279","TCGA-63-A5MV-01A"
"280","TCGA-63-A5MW-01A"
"281","TCGA-63-A5MY-01A"
"282","TCGA-66-2727-01A"
"283","TCGA-66-2734-01A"
"284","TCGA-66-2737-01A"
"285","TCGA-66-2742-01A"
"286","TCGA-66-2744-01A"
"287","TCGA-66-2753-01A"
"288","TCGA-66-2754-01A"
"289","TCGA-66-2755-01A"
"290","TCGA-66-2756-01A"
"291","TCGA-66-2757-01A"
"292","TCGA-66-2758-01A"
"293","TCGA-66-2759-01A"
"294","TCGA-66-2763-01A"
"295","TCGA-66-2765-01A"
"296","TCGA-66-2766-01A"
"297","TCGA-66-2767-01A"
"298","TCGA-66-2768-01A"
"299","TCGA-66-2769-01A"
"300","TCGA-66-2770-01A"
"301","TCGA-66-2771-01A"
"302","TCGA-66-2773-01A"
"303","TCGA-66-2777-01A"
"304","TCGA-66-2778-01A"
"305","TCGA-66-2780-01A"
"306","TCGA-66-2781-01A"
"307","TCGA-66-2782-01A"
"308","TCGA-66-2783-01A"
"309","TCGA-66-2785-01A"
"310","TCGA-66-2786-01A"
"311","TCGA-66-2787-01A"
"312","TCGA-66-2788-01A"
"313","TCGA-66-2789-01A"
"314","TCGA-66-2790-01A"
"315","TCGA-66-2791-01A"
"316","TCGA-66-2792-01A"
"317","TCGA-66-2793-01A"
"318","TCGA-66-2794-01A"
"319","TCGA-66-2795-01A"
"320","TCGA-66-2800-01A"
"321","TCGA-68-7755-01A"
"322","TCGA-68-7756-01A"
"323","TCGA-68-7757-01B"
"324","TCGA-68-8250-01A"
"325","TCGA-68-8251-01A"
"326","TCGA-68-A59I-01A"
"327","TCGA-68-A59J-01A"
"328","TCGA-6A-AB49-01A"
"329","TCGA-70-6722-01A"
"330","TCGA-70-6723-01A"
"331","TCGA-77-6842-01A"
"332","TCGA-77-6843-01A"
"333","TCGA-77-6844-01A"
"334","TCGA-77-6845-01A"
"335","TCGA-77-7138-01A"
"336","TCGA-77-7139-01A"
"337","TCGA-77-7140-01A"
"338","TCGA-77-7141-01A"
"339","TCGA-77-7142-01A"
"340","TCGA-77-7335-01A"
"341","TCGA-77-7337-01A"
"342","TCGA-77-7338-01A"
"343","TCGA-77-7463-01A"
"344","TCGA-77-7465-01A"
"345","TCGA-77-8007-01A"
"346","TCGA-77-8008-01A"
"347","TCGA-77-8009-01A"
"348","TCGA-77-8128-01A"
"349","TCGA-77-8130-01A"
"350","TCGA-77-8131-01A"
