,gene_name,entrez_id
633,CCND3,896
634,CCND3P1,897
635,CCNE1,898
636,CCNF,899
637,CCNG1,900
638,CCNG2,901
639,CCNH,902
640,CCNT1,904
641,CCNT2,905
642,CCT6A,908
643,CD1A,909
644,CD1B,910
645,CD1C,911
646,CD1D,912
647,CD1E,913
648,CD2,914
649,CD3D,915
650,CD3E,916
651,CD3G,917
652,CD247,919
653,CD4,920
654,CD5,921
655,CD5L,922
656,CD6,923
657,CD7,924
658,CD8A,925
659,CD8B,926
660,CD8B2,927
661,CD9,928
662,CD14,929
663,CD19,930
664,MS4A1,931
665,MS4A3,932
666,CD22,933
667,CD27,939
668,CD28,940
669,CD80,941
670,CD86,942
671,TNFRSF8,943
672,TNFSF8,944
673,CD33,945
674,SIGLEC6,946
675,CD34,947
676,CD36,948
677,SCARB1,949
678,SCARB2,950
679,CD37,951
680,CD38,952
681,ENTPD1,953
682,ENTPD2,954
683,ENTPD6,955
684,ENTPD3,956
685,ENTPD5,957
686,CD40,958
687,CD40LG,959
688,CD44,960
689,CD47,961
690,CD48,962
691,CD53,963
692,CD58,965
693,CD59,966
694,CD63,967
695,CD68,968
696,CD69,969
697,CD70,970
698,CD72,971
699,CD74,972
700,CD79A,973
701,CD79B,974
702,CD81,975
703,ADGRE5,976
704,CD151,977
705,CDA,978
706,CDK1,983
707,CDK11B,984
708,LRBA,987
709,CDC5L,988
710,SEPTIN7,989
711,CDC6,990
712,CDC20,991
713,CDC25A,993
714,CDC25B,994
715,CDC25C,995
716,CDC27,996
717,CDC34,997
718,CDC42,998
719,CDH1,999
720,CDH2,1000
721,CDH3,1001
722,CDH4,1002
723,CDH5,1003
724,CDH6,1004
725,CDH7,1005
726,CDH8,1006
727,CDH9,1007
728,CDH10,1008
729,CDH11,1009
730,CDH12,1010
731,CDH13,1012
732,CDH15,1013
733,CDH16,1014
734,CDH17,1015
735,CDH18,1016
736,CDK2,1017
737,CDK3,1018
738,CDK4,1019
739,CDK5,1020
740,CDK6,1021
741,CDK7,1022
742,CDK8,1024
743,CDK9,1025
744,CDKN1A,1026
745,CDKN1B,1027
746,CDKN1C,1028
747,CDKN2A,1029
748,CDKN2B,1030
749,CDKN2C,1031
750,CDKN2D,1032
751,CDKN3,1033
752,CDO1,1036
753,CDR2,1039
754,CDS1,1040
755,CDSN,1041
756,CD52,1043
757,CDX1,1044
758,CDX2,1045
759,CDX4,1046
760,CLGN,1047
761,CEACAM5,1048
762,CEBPA,1050
763,CEBPB,1051
764,CEBPD,1052
765,CEBPE,1053
766,CEBPG,1054
767,CEL,1056
768,CENPA,1058
769,CENPB,1059
770,CENPC,1060
771,CENPCP1,1061
772,CENPE,1062
773,CENPF,1063
774,CES1,1066
775,CETN1,1068
776,CETN2,1069
777,CETN3,1070
778,CETP,1071
779,CFL1,1072
780,CFL2,1073
781,CTSC,1075
782,CFTR,1080
783,CGA,1081
784,CGB3,1082
785,CEACAM3,1084
786,CEACAM7,1087
787,CEACAM8,1088
788,CEACAM4,1089
789,CHAD,1101
790,RCBTB2,1102
791,CHAT,1103
792,RCC1,1104
793,CHD1,1105
794,CHD2,1106
795,CHD3,1107
796,CHD4,1108
797,AKR1C4,1109
798,CHEK1,1111
799,FOXN3,1112
800,CHGA,1113
801,CHGB,1114
802,CHI3L1,1116
803,CHI3L2,1117
804,CHIT1,1118
805,CHKA,1119
806,CHKB,1120
807,CHM,1121
808,CHN1,1123
809,CHN2,1124
810,CHRM1,1128
811,CHRM2,1129
812,LYST,1130
813,CHRM3,1131
814,CHRM4,1132
815,CHRM5,1133
816,CHRNA1,1134
817,CHRNA2,1135
818,CHRNA3,1136
819,CHRNA4,1137
820,CHRNA5,1138
821,CHRNA7,1139
822,CHRNB1,1140
823,CHRNB2,1141
824,CHRNB3,1142
825,CHRNB4,1143
826,CHRND,1144
827,CHRNE,1145
828,CHRNG,1146
829,CHUK,1147
830,CIDEA,1149
831,CKB,1152
832,CIRBP,1153
833,CISH,1154
834,TBCB,1155
835,CKM,1158
836,CKMT1B,1159
837,CKMT2,1160
838,ERCC8,1161
839,CKS1B,1163
840,CKS2,1164
841,AP2M1,1173
842,AP1S1,1174
843,AP2S1,1175
844,AP3S1,1176
845,CLC,1178
846,CLCA1,1179
847,CLCN1,1180
848,CLCN2,1181
849,CLCN3,1182
850,CLCN4,1183
851,CLCN5,1184
852,CLCN6,1185
853,CLCN7,1186
854,CLCNKA,1187
855,CLCNKB,1188
856,CLU,1191
857,CLIC1,1192
858,CLIC2,1193
859,CLK1,1195
860,CLK2,1196
861,CLK3,1198
862,TPP1,1200
863,AC138894.1,1201
864,CLN5,1203
865,CLNS1AP1,1204
866,CLNS1A,1207
867,CLPS,1208
868,CLPTM1,1209
869,CLTA,1211
870,CLTB,1212
871,CLTC,1213
872,CMA1,1215
873,CCR1,1230
874,CCR4,1233
875,CCR5,1234
876,CCR6,1235
877,CCR7,1236
878,CCR8,1237
879,ACKR2,1238
880,CMKLR1,1240
881,LTB4R,1241
882,ABCC2,1244
883,CNGB1,1258
884,CNGA1,1259
885,CNGA2,1260
886,CNGA3,1261
887,CNGA4,1262
888,PLK3,1263
889,CNN1,1264
890,CNN2,1265
891,CNN3,1266
892,CNP,1267
893,CNR1,1268
894,CNR2,1269
895,CNTF,1270
896,CNTFR,1271
897,CNTN1,1272
898,COL1A1,1277
899,COL1A2,1278
900,COL2A1,1280
901,COL3A1,1281
902,COL4A1,1282
903,COL4A2,1284
904,COL4A3,1285
905,COL4A4,1286
906,COL4A5,1287
907,COL4A6,1288
908,COL5A1,1289
909,COL5A2,1290
910,COL6A1,1291
911,COL6A2,1292
912,COL6A3,1293
913,COL7A1,1294
914,COL8A1,1295
915,COL8A2,1296
916,COL9A1,1297
917,COL9A2,1298
918,COL9A3,1299
919,COL10A1,1300
920,COL11A1,1301
921,COL11A2,1302
922,COL12A1,1303
923,COL13A1,1305
924,COL15A1,1306
925,COL16A1,1307
926,COL17A1,1308
927,COL19A1,1310
928,COMP,1311
929,COMT,1312
930,COPA,1314
931,COPB1,1315
932,KLF6,1316
933,SLC31A1,1317
934,SLC31A2,1318
935,CORT,1325
936,MAP3K8,1326
937,COX4I1,1327
938,COX5B,1329
939,COX6A1,1337
940,COX6A2,1339
941,COX6B1,1340
942,COX6C,1345
943,COX7A1,1346
944,COX7A2,1347
945,COX7B,1349
946,COX7C,1350
947,COX8A,1351
948,COX10,1352
949,COX11,1353
950,COX15,1355
951,CP,1356
952,CPA1,1357
953,CPA2,1358
954,CPA3,1359
955,CPB1,1360
956,CPB2,1361
957,CPD,1362
958,CPE,1363
959,CLDN4,1364
960,CLDN3,1365
961,CLDN7,1366
962,CPM,1368
963,CPN1,1369
964,CPN2,1370
965,CPOX,1371
966,CPS1,1373
967,CPT1A,1374
968,CPT1B,1375
969,CPT2,1376
970,CR1,1378
971,CR1L,1379
972,CR2,1380
973,CRABP1,1381
974,CRABP2,1382
975,CRAT,1384
976,CREB1,1385
977,ATF2,1386
978,CREBBP,1387
979,ATF6B,1388
980,CREBL2,1389
981,CREM,1390
982,CRH,1392
983,CRHBP,1393
984,CRHR1,1394
985,CRHR2,1395
986,CRIP1,1396
987,CRIP2,1397
988,CRK,1398
989,CRKL,1399
990,CRMP1,1400
991,CRP,1401
992,HAPLN1,1404
993,CRX,1406
994,CRY1,1407
995,CRY2,1408
996,CRYAA,1409
997,CRYAB,1410
998,CRYBA1,1411
999,CRYBA2,1412
1000,CRYBA4,1413
1001,CRYBB1,1414
1002,CRYBB2,1415
1003,CRYBB3,1417
1004,CRYGA,1418
1005,CRYGB,1419
1006,CRYGC,1420
1007,CRYGD,1421
1008,CRYGS,1427
1009,CRYM,1428
1010,CRYZ,1429
1011,CS,1431
1012,MAPK14,1432
1013,CSE1L,1434
1014,CSF1,1435
1015,CSF1R,1436
1016,CSF2,1437
1017,CSF2RA,1438
1018,CSF2RB,1439
1019,CSF3,1440
1020,CSF3R,1441
1021,CSH1,1442
1022,CSH2,1443
1023,CSHL1,1444
1024,CSK,1445
1025,CSN1S1,1446
1026,CSN2,1447
1027,CSN3,1448
1028,CSNK1A1,1452
1029,CSNK1D,1453
1030,CSNK1E,1454
1031,CSNK1G2,1455
1032,CSNK1G3,1456
1033,CSNK2A1,1457
1034,CSNK2A2,1459
1035,CSNK2B,1460
1036,VCAN,1462
1037,NCAN,1463
1038,CSPG4,1464
1039,CSRP1,1465
1040,CSRP2,1466
1041,SLC25A10,1468
1042,CST1,1469
1043,CST2,1470
1044,CST3,1471
1045,CST4,1472
1046,CST5,1473
1047,CST6,1474
1048,CSTA,1475
1049,CSTB,1476
1050,CSTF1,1477
1051,CSTF2,1478
1052,CSTF3,1479
1053,NKX2-5,1482
1054,CTAG1B,1485
1055,CTBS,1486
1056,CTBP1,1487
1057,CTBP2,1488
1058,CTF1,1489
1059,CCN2,1490
1060,CTH,1491
1061,CTLA4,1493
1062,CTNNA1,1495
